domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance
Kota Depok,Perempuan,Married,2,SLTA,13.0,9.28,Corporate Strategy & Communications,Staff,1652764.0,0.0,High,Good,35,432,4958292.0,9916584.0,23138696.0,550921.3333333334,1.16,Mid-term,1.0,1,1652764.0,1,1652764.0,2.6
Kota Bekasi,Laki-laki,Single,0,SLTA,13.0,9.22,Finance & Accounting,Staff,1177537.0,0.0,High,Excellent,31,869,3532611.0,7065222.0,32971036.0,1177537.0,1.1525,Mid-term,2.0,1,1177537.0,1,1177537.0,3.0
Kabupaten Bogor,Perempuan,Married,2,S1,4.0,9.17,HR,Junior,5126294.0,0.0,Medium,Good,40,691,15378882.0,30757764.0,117904762.0,1708764.6666666667,1.14625,Mid-term,4.6,2,2563147.0,5,1025258.8,2.0
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,7.0,9.31,Operations,Manager,11730227.789734144,0.0,High,Excellent,49,814,35190683.369202435,70381366.73840487,316716150.32282186,2932556.947433536,1.16375,Mid-term,3.375,4,2932556.947433536,1,11730227.789734144,3.0
Tangerang,Laki-laki,Married,2,D2,6.0,9.77,Operations,Senior,9997906.672881251,0.0,Very High,Excellent,45,427,29993720.01864375,59987440.0372875,139970693.42033753,3332635.557627084,1.22125,Mid-term,2.0,3,3332635.557627084,3,3332635.557627084,3.6
Kota Jakarta Timur,Laki-laki,Married,0,SLTA,0.0,9.43,Service & Support,Manager,13547524.704367897,0.0,Very High,Excellent,49,780,40642574.11310369,81285148.22620738,352235642.3135653,13547524.704367897,1.17875,Mid-term,26.0,4,3386881.176091974,1,13547524.704367897,3.6
Kabupaten Bekasi,Perempuan,Married,0,SLTA,12.0,9.84,Corporate Strategy & Communications,Manager,12938496.010572944,0.0,High,Excellent,46,825,38815488.03171884,77630976.06343767,349339392.2854695,12938496.010572944,1.23,Mid-term,2.076923076923077,4,3234624.002643236,1,12938496.010572944,3.0
Kabupaten Bekasi,Laki-laki,Single,0,D2,4.0,9.5,HR,Manager,7968865.203019539,0.0,Very High,Excellent,46,494,23906595.60905862,47813191.21811724,127501843.24831262,7968865.203019539,1.1875,Mid-term,3.2,4,1992216.3007548847,3,2656288.401006513,3.6
Tangerang,Laki-laki,Married,1,SLTA,3.0,9.72,Corporate Strategy & Communications,Staff,2821212.0,0.0,Low,Excellent,39,397,8463636.0,16927272.0,36675756.0,1410606.0,1.215,Mid-term,3.25,1,2821212.0,1,2821212.0,1.8000000000000005
Kota Depok,Laki-laki,Married,1,SLTA,8.0,9.52,Engineering & IT,Staff,2514364.0,0.0,High,Excellent,26,825,7543092.0,15086184.0,67887828.0,1257182.0,1.19,Mid-term,3.0,1,2514364.0,1,2514364.0,3.0
Kota Jakarta Selatan,Laki-laki,Married,2,SLTA,13.0,9.44,HR,Staff,1208136.0,0.0,Medium,Excellent,31,421,3624408.0,7248816.0,16913904.0,402712.0,1.18,Mid-term,1.0,1,1208136.0,1,1208136.0,2.4000000000000004
Kota Jakarta Pusat,Laki-laki,Married,4,D2,3.0,9.4,Finance & Accounting,Senior,7356132.603225493,0.0,High,Outstanding,55,484,22068397.80967648,44136795.61935296,117698121.65160789,1471226.5206450983,1.175,Mid-term,4.0,3,2452044.201075164,3,2452044.201075164,3.4
Kabupaten Bogor,Laki-laki,Single,0,D2,2.0,9.22,Operations,Staff,4795949.0,0.0,Low,Excellent,28,443,14387847.0,28775694.0,67143286.0,4795949.0,1.1525,Mid-term,4.666666666666667,1,4795949.0,3,1598649.6666666667,1.8000000000000005
Kota Jakarta Timur,Perempuan,Married,1,SLTA,0.0,9.36,Finance & Accounting,Staff,1183168.0,0.0,High,Good,27,385,3549504.0,7099008.0,14198016.0,591584.0,1.17,Mid-term,0.0,1,1183168.0,1,1183168.0,2.6
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,11.0,9.76,HR,Senior,13958946.65246287,0.0,High,Outstanding,44,408,41876839.95738861,83753679.91477722,181466306.4820173,4652982.217487623,1.22,Mid-term,1.0833333333333333,3,4652982.217487623,1,13958946.65246287,3.4
Tangerang,Laki-laki,Married,3,D2,3.0,9.7,Operations,Manager,7486805.347072337,0.0,Very High,Excellent,49,553,22460416.04121701,44920832.08243402,134762496.24730206,1871701.336768084,1.2125,Mid-term,4.5,4,1871701.336768084,3,2495601.782357445,3.6
Kota Jakarta Pusat,Laki-laki,Single,0,SLTA,6.0,9.61,Engineering & IT,Staff,2932168.0,0.0,Medium,Excellent,30,935,8796504.0,17593008.0,90897208.0,2932168.0,1.20125,Mid-term,4.428571428571429,1,2932168.0,1,2932168.0,2.4000000000000004
Kota Jakarta Selatan,Perempuan,Married,2,SLTA,7.0,9.44,Creative & Design,Senior,8237893.058291712,0.0,High,Excellent,54,467,24713679.174875136,49427358.34975027,123568395.87437569,2745964.352763904,1.18,Mid-term,1.875,3,2745964.352763904,1,8237893.058291712,3.0
Kota Jakarta Selatan,Perempuan,Married,2,D2,11.0,9.07,Service & Support,Senior,8097097.175923618,0.0,Very High,Excellent,42,927,24291291.52777085,48582583.05554171,242912915.27770853,2699032.391974539,1.13375,Mid-term,2.5,3,2699032.391974539,3,2699032.391974539,3.6
Kota Depok,Perempuan,Married,4,SLTA,11.0,9.63,HR,Manager,9208361.395660631,0.0,High,Excellent,52,406,27625084.18698189,55250168.37396379,119708698.14358822,1841672.2791321264,1.20375,Mid-term,1.0833333333333333,4,2302090.348915158,1,9208361.395660631,3.0
Kabupaten Bekasi,Perempuan,Divorce,0,D2,5.0,9.64,Finance & Accounting,Staff,4727371.0,0.0,High,Excellent,37,891,14182113.0,28364226.0,137093759.0,4727371.0,1.205,Mid-term,4.833333333333333,1,4727371.0,3,1575790.3333333333,3.0
Tangerang,Perempuan,Married,2,SLTA,12.0,9.82,Operations,Staff,1718672.0,0.0,Medium,Low,37,384,5156016.0,10312032.0,20624064.0,572890.6666666666,1.2275,Mid-term,0.9230769230769232,1,1718672.0,1,1718672.0,1.6
Kabupaten Bogor,Perempuan,Married,1,D2,6.0,9.83,Creative & Design,Staff,4234455.0,0.0,High,Excellent,33,934,12703365.0,25406730.0,131268105.0,2117227.5,1.22875,Mid-term,4.428571428571429,1,4234455.0,3,1411485.0,3.0
Kabupaten Bekasi,Perempuan,Married,3,D2,4.0,9.48,Service & Support,Senior,7744646.101595185,0.0,High,Outstanding,44,433,23233938.30478556,46467876.60957111,108425045.42233258,1936161.525398796,1.185,Mid-term,2.8,3,2581548.700531728,3,2581548.700531728,3.4
Kota Jakarta Timur,Laki-laki,Married,5,SLTA,4.0,9.63,Corporate Strategy & Communications,Staff,2869178.0,0.0,Low,Low,40,445,8607534.0,17215068.0,40168492.0,478196.3333333333,1.20375,Mid-term,2.8,1,2869178.0,1,2869178.0,1.0
Kepulauan Seribu,Perempuan,Married,2,D2,2.0,9.86,Operations,Staff,4479349.0,0.0,Medium,Excellent,37,801,13438047.0,26876094.0,116463074.0,1493116.3333333333,1.2325,Mid-term,8.666666666666666,1,4479349.0,3,1493116.3333333333,2.4000000000000004
Tangerang,Laki-laki,Married,2,D2,7.0,9.48,Finance & Accounting,Manager,7084645.335939278,0.0,Very High,Excellent,50,578,21253936.007817835,42507872.01563567,134608261.38284627,2361548.445313093,1.185,Mid-term,2.375,4,1771161.3339848197,3,2361548.445313093,3.6
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,1.0,9.14,HR,Senior,8215116.179096713,0.0,Very High,Outstanding,46,395,24645348.537290137,49290697.07458028,106796510.32825726,2738372.0596989044,1.1425,Mid-term,6.5,3,2738372.0596989044,1,8215116.179096713,4.0
Kota Jakarta Utara,Laki-laki,Married,0,SLTA,0.0,9.15,Operations,Staff,1590550.0,0.0,High,Low,27,386,4771650.0,9543300.0,19086600.0,1590550.0,1.14375,Mid-term,12.0,1,1590550.0,1,1590550.0,2.2
Tangerang,Laki-laki,Single,0,SLTA,5.0,9.64,Service & Support,Staff,1563675.0,0.0,Low,Excellent,24,769,4691025.0,9382050.0,39091875.0,1563675.0,1.205,Mid-term,4.166666666666667,1,1563675.0,1,1563675.0,1.8000000000000005
Kota Depok,Laki-laki,Married,3,D3,8.0,9.62,Creative & Design,Manager,6731582.057889319,0.0,High,Outstanding,44,507,20194746.17366796,40389492.34733591,107705312.9262291,1682895.5144723298,1.2025,Mid-term,1.7777777777777777,4,1682895.5144723298,4,1682895.5144723298,3.4
Kota Jakarta Timur,Perempuan,Married,1,SLTA,0.0,9.76,Creative & Design,Senior,10478997.757311553,0.0,High,Outstanding,49,768,31436993.27193466,62873986.54386932,261974943.9327888,5239498.878655776,1.22,Mid-term,25.0,3,3492999.252437184,1,10478997.757311553,3.4
Kabupaten Bekasi,Laki-laki,Single,0,D1,6.0,9.83,Marketing,Senior,6516750.294486606,0.0,High,Excellent,42,457,19550250.883459818,39100501.76691964,97751254.41729908,6516750.294486606,1.22875,Mid-term,2.142857142857143,3,2172250.0981622017,2,3258375.147243303,3.0
Kepulauan Seribu,Laki-laki,Married,2,D2,0.0,9.18,Corporate Strategy & Communications,Manager,10151221.43943537,0.0,High,Excellent,49,526,30453664.31830611,60907328.63661222,172570764.4704013,3383740.47981179,1.1475,Mid-term,17.0,4,2537805.3598588426,3,3383740.47981179,3.0
Kota Jakarta Barat,Perempuan,Married,0,SLTA,8.0,9.64,Finance & Accounting,Senior,12413690.298700308,0.0,High,Outstanding,41,765,37241070.89610092,74482141.79220185,310342257.4675077,12413690.298700308,1.205,Mid-term,2.7777777777777777,3,4137896.766233436,1,12413690.298700308,3.4
Kabupaten Bogor,Perempuan,Married,2,SLTA,5.0,9.66,Operations,Staff,2564902.0,0.0,Medium,Low,35,518,7694706.0,15389412.0,43603334.0,854967.3333333334,1.2075,Mid-term,2.833333333333333,1,2564902.0,1,2564902.0,1.6
Tangerang,Perempuan,Married,1,SLTA,12.0,9.55,Engineering & IT,Senior,12342792.893569691,0.0,Very High,Outstanding,46,808,37028378.68070907,74056757.36141814,320912615.232812,6171396.446784846,1.19375,Mid-term,2.0,3,4114264.297856564,1,12342792.893569691,4.0
Kota Depok,Laki-laki,Married,2,D3,3.0,9.69,Engineering & IT,Manager,9585498.269262116,0.0,Very High,Outstanding,46,860,28756494.80778635,57512989.6155727,268393951.53933924,3195166.089754039,1.21125,Mid-term,7.0,4,2396374.567315529,4,2396374.567315529,4.0
Kota Bogor,Laki-laki,Single,0,SLTA,7.0,9.69,Engineering & IT,Staff,2419896.0,0.0,High,Low,26,434,7259688.0,14519376.0,33878544.0,2419896.0,1.21125,Mid-term,1.75,1,2419896.0,1,2419896.0,2.2
Kabupaten Bogor,Perempuan,Married,2,SLTA,5.0,9.57,Marketing,Staff,2303617.0,0.0,Medium,Low,38,788,6910851.0,13821702.0,59894042.0,767872.3333333334,1.19625,Mid-term,4.333333333333333,1,2303617.0,1,2303617.0,1.6
Tangerang,Laki-laki,Married,0,SLTA,0.0,9.49,Corporate Strategy & Communications,Manager,8517214.12204844,0.0,High,Outstanding,47,753,25551642.36614532,51103284.73229064,212930353.051211,8517214.12204844,1.18625,Mid-term,0.0,4,2129303.53051211,1,8517214.12204844,3.4
Kota Bogor,Perempuan,Married,2,SLTA,6.0,9.83,Marketing,Staff,1248982.0,0.0,High,Low,32,430,3746946.0,7493892.0,17485748.0,416327.3333333333,1.22875,Mid-term,2.0,1,1248982.0,1,1248982.0,2.2
Kota Bekasi,Perempuan,Single,0,D1,1.0,9.52,Marketing,Staff,4767078.0,0.0,Medium,Excellent,25,444,14301234.0,28602468.0,66739092.0,4767078.0,1.19,Mid-term,7.0,1,4767078.0,2,2383539.0,2.4000000000000004
Kabupaten Bogor,Laki-laki,Single,0,D1,5.0,9.55,Operations,Staff,4324583.0,0.0,Low,Excellent,25,487,12973749.0,25947498.0,69193328.0,4324583.0,1.19375,Mid-term,2.6666666666666665,1,4324583.0,2,2162291.5,1.8000000000000005
Kota Jakarta Timur,Laki-laki,Married,2,SLTA,0.0,9.32,HR,Staff,1103191.0,0.0,High,Excellent,39,434,3309573.0,6619146.0,15444674.0,367730.3333333333,1.165,Mid-term,14.0,1,1103191.0,1,1103191.0,3.0
Kota Jakarta Barat,Perempuan,Married,2,SLTA,0.0,9.07,Finance & Accounting,Staff,1744305.0,0.0,Medium,Good,30,390,5232915.0,10465830.0,22675965.0,581435.0,1.13375,Mid-term,0.0,1,1744305.0,1,1744305.0,2.0
Kota Depok,Laki-laki,Married,2,SLTA,5.0,9.28,Service & Support,Manager,11652377.786810374,0.0,Very High,Excellent,48,785,34957133.36043112,69914266.72086224,302961822.4570697,3884125.928936791,1.16,Mid-term,4.333333333333333,4,2913094.446702593,1,11652377.786810374,3.6
Tangerang,Perempuan,Married,2,D3,7.0,9.69,Marketing,Senior,6974674.284079047,0.0,High,Excellent,49,421,20924022.852237143,41848045.704474285,97645439.97710666,2324891.428026349,1.21125,Mid-term,1.75,3,2324891.428026349,4,1743668.5710197615,3.0
Kota Jakarta Timur,Perempuan,Married,2,D3,6.0,9.31,Creative & Design,Manager,7101731.161696288,0.0,High,Excellent,49,484,21305193.485088862,42610386.970177725,113627698.5871406,2367243.7205654294,1.16375,Mid-term,2.2857142857142856,4,1775432.790424072,4,1775432.790424072,3.0
Kabupaten Bekasi,Perempuan,Single,0,SLTA,6.0,9.87,Service & Support,Staff,1440315.0,0.0,Low,Good,35,412,4320945.0,8641890.0,18724095.0,1440315.0,1.23375,Mid-term,1.8571428571428568,1,1440315.0,1,1440315.0,1.4
Tangerang,Laki-laki,Married,2,D2,3.0,9.37,Marketing,Staff,3452940.0,0.0,Medium,Low,36,794,10358820.0,20717640.0,89776440.0,1150980.0,1.17125,Mid-term,6.5,1,3452940.0,3,1150980.0,1.6
Kota Jakarta Timur,Laki-laki,Married,3,D2,1.0,9.87,Service & Support,Senior,9170585.85683282,0.0,Very High,Excellent,46,585,27511757.570498463,55023515.140996926,174241131.2798236,2292646.464208205,1.23375,Mid-term,9.5,3,3056861.952277607,3,3056861.952277607,3.6
Tangerang,Perempuan,Married,3,SLTA,11.0,9.66,Creative & Design,Manager,9309396.9384892,0.0,Very High,Excellent,54,420,27928190.815467604,55856381.63093521,130331557.1388488,2327349.2346223,1.2075,Mid-term,1.1666666666666667,4,2327349.2346223,1,9309396.9384892,3.6
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,5.0,9.47,Engineering & IT,Manager,14830120.74675332,0.0,Very High,Excellent,51,437,44490362.24025996,88980724.48051992,207621690.45454648,4943373.582251106,1.18375,Mid-term,2.333333333333333,4,3707530.18668833,1,14830120.74675332,3.6
Kota Bekasi,Laki-laki,Single,0,D1,3.0,9.76,Service & Support,Staff,4523462.0,0.0,High,Excellent,33,476,13570386.0,27140772.0,67851930.0,4523462.0,1.22,Mid-term,3.75,1,4523462.0,2,2261731.0,3.0
Kabupaten Bekasi,Laki-laki,Married,1,SLTA,0.0,9.15,Engineering & IT,Staff,2134016.0,0.0,High,Good,39,833,6402048.0,12804096.0,57618432.0,1067008.0,1.14375,Mid-term,27.0,1,2134016.0,1,2134016.0,2.6
Kota Jakarta Selatan,Laki-laki,Married,1,D2,3.0,9.31,Creative & Design,Staff,4922488.0,0.0,Medium,Good,24,422,14767464.0,29534928.0,68914832.0,2461244.0,1.16375,Mid-term,3.5,1,4922488.0,3,1640829.3333333333,2.0
Kota Jakarta Timur,Laki-laki,Divorce,0,SLTA,0.0,9.24,Marketing,Staff,1613236.0,0.0,Low,Good,38,412,4839708.0,9679416.0,20972068.0,1613236.0,1.155,Mid-term,13.0,1,1613236.0,1,1613236.0,1.4
Kota Jakarta Timur,Laki-laki,Married,2,D3,0.0,9.17,Finance & Accounting,Senior,6563395.602310346,0.0,High,Excellent,46,490,19690186.80693104,39380373.61386208,105014329.63696554,2187798.534103449,1.14625,Mid-term,16.0,3,2187798.534103449,4,1640848.9005775866,3.0
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,0.0,9.7,Engineering & IT,Manager,10499543.81179775,0.0,High,Outstanding,41,849,31498631.435393248,62997262.870786496,293987226.73033696,2624885.9529494373,1.2125,Mid-term,28.0,4,2624885.9529494373,1,10499543.81179775,3.4
Kota Jakarta Utara,Laki-laki,Married,3,S1,2.0,9.76,Corporate Strategy & Communications,Manager,11510156.34150021,0.0,Very High,Excellent,51,721,34530469.02450063,69060938.04900126,276243752.19600505,2877539.0853750524,1.22,Mid-term,8.0,4,2877539.0853750524,5,2302031.268300042,3.6
Kota Depok,Laki-laki,Married,3,D3,7.0,9.24,Creative & Design,Staff,3977883.0,0.0,Medium,Excellent,37,508,11933649.0,23867298.0,63646128.0,994470.75,1.155,Mid-term,2.0,1,3977883.0,4,994470.75,2.4000000000000004
Kabupaten Bogor,Perempuan,Married,1,SLTA,10.0,9.82,HR,Manager,8044722.297667104,0.0,Very High,Excellent,41,502,24134166.89300131,48268333.78600262,128715556.76267366,4022361.148833552,1.2275,Mid-term,1.4545454545454546,4,2011180.574416776,1,8044722.297667104,3.6
Tangerang,Laki-laki,Married,2,SLTA,9.0,9.66,Finance & Accounting,Staff,2636807.0,0.0,Medium,Low,38,761,7910421.0,15820842.0,65920175.0,878935.6666666666,1.2075,Mid-term,2.5,1,2636807.0,1,2636807.0,1.6
Kabupaten Bekasi,Perempuan,Married,0,SLTA,3.0,9.12,Marketing,Staff,1924500.0,0.0,Medium,Good,27,432,5773500.0,11547000.0,26943000.0,1924500.0,1.14,Mid-term,3.5,1,1924500.0,1,1924500.0,2.0
Kota Jakarta Timur,Perempuan,Married,3,D1,3.0,9.01,Corporate Strategy & Communications,Manager,7879839.552282199,0.0,High,Excellent,42,928,23639518.6568466,47279037.3136932,236395186.568466,1969959.8880705496,1.12625,Mid-term,7.5,4,1969959.8880705496,2,3939919.7761411,3.0
Kota Depok,Laki-laki,Married,2,D3,2.0,9.25,Corporate Strategy & Communications,Manager,6756742.049975245,0.0,Very High,Outstanding,51,403,20270226.14992573,40540452.29985147,87837646.64967819,2252247.3499917486,1.15625,Mid-term,4.333333333333333,4,1689185.5124938113,4,1689185.5124938113,4.0
Kota Jakarta Barat,Laki-laki,Married,4,SLTA,0.0,9.61,HR,Manager,14152264.767702974,0.0,High,Excellent,44,399,42456794.30310892,84913588.60621785,183979441.98013863,2830452.953540595,1.20125,Mid-term,13.0,4,3538066.191925744,1,14152264.767702974,3.0
Kabupaten Bogor,Laki-laki,Single,0,SLTA,11.0,9.4,Engineering & IT,Staff,1908605.0,0.0,Low,Low,33,411,5725815.0,11451630.0,24811865.0,1908605.0,1.175,Mid-term,1.0833333333333333,1,1908605.0,1,1908605.0,1.0
Tangerang,Perempuan,Divorce,2,D1,4.0,9.18,Creative & Design,Staff,4289614.0,0.0,Medium,Good,38,410,12868842.0,25737684.0,55764982.0,1429871.3333333333,1.1475,Mid-term,2.6,1,4289614.0,2,2144807.0,2.0
Tangerang,Laki-laki,Divorce,0,SLTA,12.0,9.69,Service & Support,Staff,2675720.0,0.0,Medium,Low,38,515,8027160.0,16054320.0,45487240.0,2675720.0,1.21125,Mid-term,1.3076923076923077,1,2675720.0,1,2675720.0,1.6
Kabupaten Bogor,Laki-laki,Married,1,SLTA,1.0,9.34,Corporate Strategy & Communications,Staff,1976672.0,0.0,High,Excellent,40,480,5930016.0,11860032.0,31626752.0,988336.0,1.1675,Mid-term,8.0,1,1976672.0,1,1976672.0,3.0
Kota Depok,Perempuan,Married,1,SLTA,11.0,9.67,Marketing,Staff,1692262.0,0.0,Low,Good,26,757,5076786.0,10153572.0,42306550.0,846131.0,1.20875,Mid-term,2.083333333333333,1,1692262.0,1,1692262.0,1.4
Kota Jakarta Pusat,Laki-laki,Married,0,SLTA,0.0,9.59,Engineering & IT,Staff,1305010.0,0.0,Low,Good,32,410,3915030.0,7830060.0,16965130.0,1305010.0,1.19875,Mid-term,13.0,1,1305010.0,1,1305010.0,1.4
Kabupaten Bogor,Laki-laki,Married,4,D1,10.0,9.82,HR,Staff,3063557.0,0.0,High,Excellent,38,814,9190671.0,18381342.0,82716039.0,612711.4,1.2275,Mid-term,2.4545454545454546,1,3063557.0,2,1531778.5,3.0
Kabupaten Bogor,Laki-laki,Married,3,D1,5.0,9.25,HR,Manager,8621827.743385969,0.0,High,Excellent,50,421,25865483.230157904,51730966.46031581,120705588.40740356,2155456.935846492,1.15625,Mid-term,2.333333333333333,4,2155456.935846492,2,4310913.871692984,3.0
Tangerang,Laki-laki,Married,2,D1,3.0,9.11,Marketing,Staff,3800712.0,0.0,Low,Good,32,1018,11402136.0,22804272.0,125423496.0,1266904.0,1.13875,Mid-term,8.25,1,3800712.0,2,1900356.0,1.4
Tangerang,Laki-laki,Married,1,D3,8.0,9.56,Creative & Design,Senior,7535621.923766896,0.0,Very High,Outstanding,45,421,22606865.77130069,45213731.54260138,105498706.93273656,3767810.961883448,1.195,Mid-term,1.5555555555555556,3,2511873.974588965,4,1883905.480941724,4.0
Tangerang,Laki-laki,Married,2,SLTA,0.0,9.12,Creative & Design,Staff,2010551.0,0.0,High,Excellent,37,779,6031653.0,12063306.0,50263775.0,670183.6666666666,1.14,Mid-term,25.0,1,2010551.0,1,2010551.0,3.0
Tangerang,Perempuan,Married,2,SLTA,8.0,9.81,Service & Support,Staff,1889255.0,0.0,High,Good,36,398,5667765.0,11335530.0,24560315.0,629751.6666666666,1.22625,Mid-term,1.4444444444444444,1,1889255.0,1,1889255.0,2.6
Kota Jakarta Pusat,Laki-laki,Married,2,D3,1.0,9.17,Corporate Strategy & Communications,Staff,4790169.0,0.0,Low,Excellent,38,454,14370507.0,28741014.0,71852535.0,1596723.0,1.14625,Mid-term,7.5,1,4790169.0,4,1197542.25,1.8000000000000005
Kota Jakarta Selatan,Perempuan,Single,0,SLTA,7.0,9.13,Finance & Accounting,Staff,2603858.0,0.0,Low,Excellent,23,511,7811574.0,15623148.0,44265586.0,2603858.0,1.14125,Mid-term,2.125,1,2603858.0,1,2603858.0,1.8000000000000005
Tangerang,Laki-laki,Married,1,SLTA,5.0,9.48,HR,Manager,10685757.228510989,0.0,High,Outstanding,43,849,32057271.685532965,64114543.37106593,299201202.3983077,5342878.614255494,1.185,Mid-term,4.666666666666667,4,2671439.307127747,1,10685757.228510989,3.4
Kabupaten Bekasi,Perempuan,Married,2,D3,1.0,9.5,HR,Staff,3756189.0,0.0,High,Low,40,472,11268567.0,22537134.0,56342835.0,1252063.0,1.1875,Mid-term,7.5,1,3756189.0,4,939047.25,2.2
Kabupaten Bekasi,Laki-laki,Single,0,D2,3.0,9.36,HR,Staff,4347525.0,0.0,Medium,Good,24,451,13042575.0,26085150.0,65212875.0,4347525.0,1.17,Mid-term,3.75,1,4347525.0,3,1449175.0,2.0
Kabupaten Bogor,Laki-laki,Married,1,D2,7.0,9.87,Finance & Accounting,Manager,7726645.57383019,0.0,Very High,Excellent,49,850,23179936.72149057,46359873.44298114,216346076.06724533,3863322.786915095,1.23375,Mid-term,3.5,4,1931661.3934575475,3,2575548.5246100635,3.6
Kabupaten Bogor,Perempuan,Married,0,D1,1.0,9.02,Creative & Design,Manager,7576093.846216373,0.0,Very High,Outstanding,51,525,22728281.53864912,45456563.07729824,128793595.38567837,7576093.846216373,1.1275,Mid-term,8.5,4,1894023.4615540933,2,3788046.9231081866,4.0
Kabupaten Bogor,Laki-laki,Divorce,1,SLTA,1.0,9.52,HR,Staff,2899188.0,0.0,Low,Excellent,34,811,8697564.0,17395128.0,78278076.0,1449594.0,1.19,Mid-term,13.5,1,2899188.0,1,2899188.0,1.8000000000000005
Kota Jakarta Timur,Perempuan,Married,2,D2,5.0,9.1,Engineering & IT,Senior,7898757.785424981,0.0,Very High,Excellent,42,813,23696273.356274944,47392546.71254989,213266460.20647448,2632919.261808327,1.1375,Mid-term,4.5,3,2632919.261808327,3,2632919.261808327,3.6
Kabupaten Bekasi,Perempuan,Married,2,D1,1.0,9.7,Marketing,Staff,3596834.0,0.0,Low,Low,38,536,10790502.0,21581004.0,61146178.0,1198944.6666666667,1.2125,Mid-term,8.5,1,3596834.0,2,1798417.0,1.0
Kota Jakarta Timur,Perempuan,Married,2,SLTA,0.0,9.58,Finance & Accounting,Manager,8486602.261046331,0.0,High,Outstanding,42,406,25459806.783139,50919613.56627799,110325829.39360233,2828867.420348777,1.1975,Mid-term,13.0,4,2121650.565261583,1,8486602.261046331,3.4
Kota Jakarta Selatan,Laki-laki,Married,4,SLTA,4.0,9.25,Service & Support,Manager,8214200.242219204,0.0,Very High,Outstanding,51,426,24642600.72665761,49285201.45331523,114998803.39106886,1642840.0484438408,1.15625,Mid-term,2.8,4,2053550.060554801,1,8214200.242219204,4.0
Kota Jakarta Selatan,Laki-laki,Single,0,SLTA,6.0,9.03,Creative & Design,Staff,1376207.0,0.0,High,Low,25,414,4128621.0,8257242.0,17890691.0,1376207.0,1.12875,Mid-term,1.8571428571428568,1,1376207.0,1,1376207.0,2.2
Tangerang,Laki-laki,Married,2,SLTA,10.0,9.84,Finance & Accounting,Staff,1604547.0,0.0,Medium,Excellent,32,401,4813641.0,9627282.0,20859111.0,534849.0,1.23,Mid-term,1.181818181818182,1,1604547.0,1,1604547.0,2.4000000000000004
Kabupaten Bogor,Laki-laki,Married,2,D1,10.0,9.56,Service & Support,Staff,3261493.0,0.0,High,Good,31,440,9784479.0,19568958.0,45660902.0,1087164.3333333333,1.195,Mid-term,1.2727272727272727,1,3261493.0,2,1630746.5,2.6
Kota Bekasi,Laki-laki,Married,1,D3,6.0,9.57,Marketing,Staff,3078479.0,0.0,Medium,Good,27,917,9235437.0,18470874.0,92354370.0,1539239.5,1.19625,Mid-term,4.285714285714286,1,3078479.0,4,769619.75,2.0
Kota Jakarta Selatan,Perempuan,Married,2,D2,2.0,9.58,Finance & Accounting,Senior,10480121.451589908,0.0,Very High,Outstanding,52,653,31440364.354769725,62880728.70953945,220082550.48338807,3493373.817196636,1.1975,Mid-term,7.0,3,3493373.817196636,3,3493373.817196636,4.0
Kota Jakarta Selatan,Laki-laki,Married,0,SLTA,0.0,9.01,Marketing,Staff,1198218.0,0.0,Medium,Good,39,474,3594654.0,7189308.0,17973270.0,1198218.0,1.12625,Mid-term,15.0,1,1198218.0,1,1198218.0,2.0
Tangerang,Perempuan,Married,2,SLTA,12.0,9.82,Service & Support,Staff,2112220.0,0.0,Medium,Low,34,424,6336660.0,12673320.0,29571080.0,704073.3333333334,1.2275,Mid-term,1.0769230769230769,1,2112220.0,1,2112220.0,1.6
Kepulauan Seribu,Laki-laki,Married,2,SLTA,0.0,9.76,Corporate Strategy & Communications,Senior,14094495.267652348,0.0,Very High,Outstanding,55,788,42283485.80295704,84566971.60591409,366456876.958961,4698165.08921745,1.22,Mid-term,26.0,3,4698165.08921745,1,14094495.267652348,4.0
Kota Depok,Perempuan,Single,0,D3,1.0,9.55,Operations,Staff,3605455.0,0.0,Medium,Good,27,454,10816365.0,21632730.0,54081825.0,3605455.0,1.19375,Mid-term,7.5,1,3605455.0,4,901363.75,2.0
Kota Jakarta Utara,Laki-laki,Married,2,SLTA,9.0,9.05,HR,Senior,8573365.557212273,0.0,Very High,Outstanding,44,402,25720096.67163682,51440193.34327364,111453752.24375954,2857788.5190707576,1.13125,Mid-term,1.3,3,2857788.5190707576,1,8573365.557212273,4.0
Kabupaten Bekasi,Laki-laki,Married,5,SLTA,0.0,9.27,Creative & Design,Senior,14638162.804954184,0.0,Very High,Excellent,47,443,43914488.41486255,87828976.8297251,204934279.26935852,2439693.8008256974,1.15875,Mid-term,14.0,3,4879387.601651395,1,14638162.804954184,3.6
