domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,absence_ratio,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,married_dependent_ratio,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance,resign_risk_indicator,adjusted_work_time
Kota Jakarta Pusat,Laki-laki,Married,2,SLTA,0.0,9.88,Engineering & IT,Staff,1110136,0.0,Low,Good,31.0,421,3330408,6660816,15541904,0.0,370045.3333333333,1.235,Mid-term,14.0,3,1,1110136.0,1,1110136.0,1.4,Medium,9.88
Kota Bekasi,Perempuan,Married,3,SLTA,5.0,9.36,HR,Staff,1202842,0.0,High,Excellent,34.0,401,3608526,7217052,15636946,1.1221945137157108,300710.5,1.17,Mid-term,2.1666666666666665,4,1,1202842.0,1,1202842.0,3.0,Medium,9.3200341588386
Kota Jakarta Barat,Perempuan,Married,4,SLTA,0.0,9.2,Marketing,Staff,2341063,0.0,Medium,Excellent,41.0,583,7023189,14046378,44480197,0.0,468212.6,1.15,Mid-term,19.0,5,1,2341063.0,1,2341063.0,2.4000000000000004,Medium,9.2
Kota Jakarta Timur,Perempuan,Married,2,D2,7.0,9.68,Engineering & IT,Staff,3567527,0.0,High,Excellent,41.0,433,10702581,21405162,49945378,1.4549653579676676,1189175.6666666667,1.21,Mid-term,1.75,3,1,3567527.0,3,1189175.6666666667,3.0,Medium,9.626264869151466
Kabupaten Bekasi,Laki-laki,Married,5,SLTA,6.0,9.16,Engineering & IT,Staff,1760119,0.0,Medium,Low,37.0,810,5280357,10560714,47523213,0.6666666666666666,293353.1666666667,1.145,Mid-term,3.857142857142857,6,1,1760119.0,1,1760119.0,1.6,Medium,9.13739201974496
Kabupaten Bogor,Laki-laki,Married,3,D1,4.0,9.23,Creative & Design,Staff,4169600,0.0,Low,Good,55.0,510,12508800,25017600,70883200,0.7058823529411764,1042400.0,1.15375,Mid-term,3.4,4,1,4169600.0,2,2084800.0,1.4,Medium,9.205885042455913
Tangerang,Perempuan,Married,1,D3,0.0,9.27,Service & Support,Staff,4117313,0.0,Medium,Good,31.0,794,12351939,24703878,107050138,0.0,2058656.5,1.15875,Mid-term,26.0,2,1,4117313.0,4,1029328.25,2.0,Medium,9.27
Kota Jakarta Barat,Laki-laki,Single,0,SLTA,13.0,9.31,Operations,Staff,1455860,0.0,High,Good,25.0,419,4367580,8735160,18926180,2.79236276849642,1455860.0,1.16375,Mid-term,0.9285714285714286,1,1,1455860.0,1,1455860.0,2.6,Medium,9.2066438941076
Tangerang,Laki-laki,Married,3,SLTA,13.0,9.16,Service & Support,Staff,1934525,0.0,High,Good,46.0,894,5803575,11607150,56101225,1.308724832214765,483631.25,1.145,Mid-term,2.071428571428572,4,1,1934525.0,1,1934525.0,2.6,Medium,9.114392952891611
Kota Jakarta Timur,Laki-laki,Married,1,D2,9.0,9.64,Finance & Accounting,Staff,3088145,0.0,High,Good,43.0,413,9264435,18528870,40145885,1.961259079903148,1544072.5,1.205,Mid-term,1.3,2,1,3088145.0,3,1029381.6666666666,2.6,Medium,9.565909479077712
Kota Jakarta Timur,Laki-laki,Single,0,SLTA,0.0,9.88,Service & Support,Staff,1201136,0.0,Medium,Good,26.0,809,3603408,7206816,31229536,0.0,1201136.0,1.235,Mid-term,26.0,1,1,1201136.0,1,1201136.0,2.0,Medium,9.88
Kota Jakarta Barat,Perempuan,Married,2,SLTA,7.0,9.4,Engineering & IT,Staff,1094830,0.0,Medium,Low,34.0,824,3284490,6568980,29560410,0.7645631067961165,364943.3333333333,1.175,Mid-term,3.375,3,1,1094830.0,1,1094830.0,1.6,Medium,9.372932949403538
Kabupaten Bekasi,Perempuan,Married,3,SLTA,9.0,9.56,Creative & Design,Staff,2166712,0.0,Low,Low,41.0,883,6500136,13000272,62834648,0.9173272933182332,541678.0,1.195,Mid-term,2.9,4,1,2166712.0,1,2166712.0,1.0,Medium,9.527047108387592
Kota Jakarta Selatan,Laki-laki,Single,0,SLTA,10.0,9.47,Creative & Design,Staff,1832536,0.0,Medium,Excellent,28.0,680,5497608,10995216,40315792,1.3235294117647058,1832536.0,1.18375,Mid-term,2.0,1,1,1832536.0,1,1832536.0,2.4000000000000004,Medium,9.422195860676426
Tangerang,Laki-laki,Single,0,SLTA,13.0,9.32,Engineering & IT,Staff,1824559,0.0,High,Low,34.0,393,5473677,10947354,23719267,2.9770992366412217,1824559.0,1.165,Mid-term,0.9285714285714286,1,1,1824559.0,1,1824559.0,2.2,Medium,9.216532877882152
Kabupaten Bogor,Laki-laki,Married,5,SLTA,0.0,9.14,Service & Support,Staff,1144246,0.0,Low,Good,47.0,415,3432738,6865476,14875198,0.0,190707.66666666663,1.1425,Mid-term,13.0,6,1,1144246.0,1,1144246.0,1.4,Medium,9.14
Kabupaten Bekasi,Perempuan,Married,1,SLTA,9.0,9.77,Service & Support,Staff,2988784,0.0,Medium,Low,35.0,476,8966352,17932704,44831760,1.7016806722689075,1494392.0,1.22125,Mid-term,1.5,2,1,2988784.0,1,2988784.0,1.6,Medium,9.704914877868246
Kabupaten Bogor,Laki-laki,Married,2,D1,3.0,9.9,Marketing,Staff,4450571,0.0,Medium,Low,36.0,766,13351713,26703426,111264275,0.3524804177545692,1483523.6666666667,1.2375,Mid-term,6.25,3,1,4450571.0,2,2225285.5,1.6,Medium,9.886805864060417
Kota Depok,Laki-laki,Married,1,SLTA,13.0,9.88,HR,Staff,1596113,0.0,High,Good,26.0,421,4788339,9576678,22345582,2.7790973871733966,798056.5,1.235,Mid-term,1.0,2,1,1596113.0,1,1596113.0,2.6,Medium,9.778144329896907
Kota Jakarta Barat,Perempuan,Married,1,D1,8.0,9.22,Service & Support,Staff,3179665,0.0,Low,Excellent,42.0,564,9538995,19077990,57233970,1.2765957446808511,1589832.5,1.1525,Mid-term,2.0,2,1,3179665.0,2,1589832.5,1.8000000000000005,Medium,9.174497223935845
Tangerang,Laki-laki,Married,4,SLTA,0.0,9.29,Engineering & IT,Staff,1265687,0.0,Low,Excellent,54.0,757,3797061,7594122,31642175,0.0,253137.4,1.16125,Mid-term,25.0,5,1,1265687.0,1,1265687.0,1.8000000000000005,Medium,9.29
Kota Jakarta Utara,Laki-laki,Married,1,D2,4.0,9.25,HR,Staff,3560812,0.0,Medium,Low,25.0,522,10682436,21364872,60533804,0.6896551724137931,1780406.0,1.15625,Mid-term,3.4,2,1,3560812.0,3,1186937.3333333333,1.6,Medium,9.22583278902678
Kota Jakarta Barat,Laki-laki,Married,3,D3,3.0,9.16,Corporate Strategy & Communications,Staff,4799324,0.0,Medium,Low,46.0,422,14397972,28795944,67190536,0.6398104265402843,1199831.0,1.145,Mid-term,3.5,4,1,4799324.0,4,1199831.0,1.6,Medium,9.138207771609832
Kota Jakarta Timur,Laki-laki,Married,3,SLTA,11.0,9.88,Operations,Staff,2084752,0.0,Medium,Good,52.0,783,6254256,12508512,54203552,1.264367816091954,521188.0,1.235,Mid-term,2.1666666666666665,4,1,2084752.0,1,2084752.0,2.0,Medium,9.833575395130287
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,3.0,9.62,HR,Staff,2378671,0.0,Low,Low,44.0,411,7136013,14272026,30922723,0.6569343065693432,594667.75,1.2025,Mid-term,3.25,4,1,2378671.0,1,2378671.0,1.0,Medium,9.59535439795047
Tangerang,Laki-laki,Married,2,SLTA,0.0,9.8,HR,Staff,1431058,0.0,Low,Excellent,48.0,384,4293174,8586348,17172696,0.0,477019.3333333333,1.225,Mid-term,12.0,3,1,1431058.0,1,1431058.0,1.8000000000000005,Medium,9.8
Kota Jakarta Utara,Laki-laki,Married,3,SLTA,1.0,9.9,Creative & Design,Staff,1054706,0.0,High,Excellent,56.0,435,3164118,6328236,14765884,0.2068965517241379,263676.5,1.2375,Mid-term,7.0,4,1,1054706.0,1,1054706.0,3.0,Medium,9.892149088025375
Kabupaten Bekasi,Laki-laki,Single,0,D1,6.0,9.22,HR,Staff,3321975,0.0,Medium,Good,37.0,804,9965925,19931850,86371350,0.6716417910447761,3321975.0,1.1525,Mid-term,3.7142857142857135,1,1,3321975.0,2,1660987.5,2.0,Medium,9.196369073045709
Kabupaten Bogor,Laki-laki,Married,1,SLTA,11.0,9.46,HR,Staff,1618611,0.0,Low,Good,46.0,877,4855833,9711666,46939719,1.12884834663626,809305.5,1.1825,Mid-term,2.4166666666666665,2,1,1618611.0,1,1618611.0,1.4,Medium,9.420145538108006
Kota Jakarta Pusat,Laki-laki,Married,1,D2,2.0,9.21,Operations,Staff,4064322,0.0,Medium,Good,34.0,821,12192966,24385932,109736694,0.2192448233861145,2032161.0,1.15125,Mid-term,9.0,2,1,4064322.0,3,1354774.0,2.0,Medium,9.202422871246402
Kabupaten Bogor,Laki-laki,Married,1,SLTA,0.0,9.58,Engineering & IT,Staff,1928604,0.0,Low,Good,29.0,415,5785812,11571624,25071852,0.0,964302.0,1.1975,Mid-term,13.0,2,1,1928604.0,1,1928604.0,1.4,Medium,9.58
Tangerang,Laki-laki,Married,3,D1,3.0,9.78,Marketing,Staff,4547082,0.0,Low,Good,31.0,593,13641246,27282492,86394558,0.4553119730185497,1136770.5,1.2225,Mid-term,4.75,4,1,4547082.0,2,2273541.0,1.4,Medium,9.762852133255404
Tangerang,Perempuan,Married,3,SLTA,4.0,9.74,Corporate Strategy & Communications,Staff,2341404,0.0,High,Low,38.0,478,7024212,14048424,35121060,0.7531380753138076,585351.0,1.2175,Mid-term,3.0,4,1,2341404.0,1,2341404.0,2.2,Medium,9.711162102146558
Tangerang,Perempuan,Married,3,SLTA,8.0,9.54,HR,Staff,2980995,0.0,High,Excellent,42.0,448,8942985,17885970,41733930,1.6071428571428572,745248.75,1.1925,Mid-term,1.5555555555555556,4,1,2980995.0,1,2980995.0,3.0,Medium,9.479476605868358
Kabupaten Bekasi,Laki-laki,Single,0,D2,3.0,9.36,HR,Staff,4347525,0.0,Medium,Good,24.0,451,13042575,26085150,65212875,0.5986696230598669,4347525.0,1.17,Mid-term,3.75,1,1,4347525.0,3,1449175.0,2.0,Medium,9.33921539600296
Kabupaten Bogor,Laki-laki,Married,3,SLTA,1.0,9.72,Corporate Strategy & Communications,Staff,2311995,0.0,Low,Low,35.0,778,6935985,13871970,57799875,0.1156812339331619,577998.75,1.215,Mid-term,12.5,4,1,2311995.0,1,2311995.0,1.0,Medium,9.715681919147046
Kota Bekasi,Perempuan,Married,1,S1,0.0,9.75,Finance & Accounting,Junior,6533299,0.0,High,Good,33.0,606,19599897,39199794,130665980,0.0,3266649.5,1.21875,Mid-term,20.0,2,2,3266649.5,5,1306659.8,2.6,Medium,9.75
Kota Jakarta Pusat,Laki-laki,Married,1,D2,1.0,9.72,Finance & Accounting,Staff,4570924,0.0,Medium,Good,54.0,620,13712772,27425544,91418480,0.1451612903225806,2285462.0,1.215,Mid-term,10.0,2,1,4570924.0,3,1523641.3333333333,2.0,Medium,9.71460299833426
Kota Depok,Perempuan,Single,0,D1,4.0,9.67,HR,Staff,4132542,0.0,High,Excellent,24.0,611,12397626,24795252,82650840,0.5891980360065466,4132542.0,1.20875,Mid-term,4.0,1,1,4132542.0,2,2066271.0,3.0,Medium,9.648523042754023
Kabupaten Bogor,Perempuan,Married,2,SLTA,7.0,9.02,Marketing,Staff,1016040,0.0,Low,Excellent,33.0,767,3048120,6096240,25401000,0.8213820078226858,338680.0,1.1275,Mid-term,3.125,3,1,1016040.0,1,1016040.0,1.8000000000000005,Medium,8.99195024433585
Kota Jakarta Selatan,Laki-laki,Married,5,SLTA,6.0,9.22,Service & Support,Staff,2595659,0.0,Low,Good,42.0,447,7786977,15573954,36339226,1.2080536912751678,432609.8333333333,1.1525,Mid-term,2.0,6,1,2595659.0,1,2595659.0,1.4,Medium,9.1761300555115
Kota Depok,Perempuan,Married,1,D3,4.0,9.39,Corporate Strategy & Communications,Staff,3735167,0.0,High,Low,45.0,452,11205501,22411002,56027505,0.7964601769911505,1867583.5,1.17375,Mid-term,3.0,2,1,3735167.0,4,933791.75,2.2,Medium,9.36219837157661
Kabupaten Bekasi,Laki-laki,Married,2,D3,4.0,9.58,Corporate Strategy & Communications,Staff,3212811,0.0,Medium,Low,38.0,450,9638433,19276866,48192165,0.8,1070937.0,1.1975,Mid-term,3.0,3,1,3212811.0,4,803202.75,1.6,Medium,9.551635825314582
Kota Jakarta Timur,Laki-laki,Single,0,SLTA,3.0,9.51,Marketing,Staff,1035159,0.0,Low,Excellent,27.0,445,3105477,6210954,14492226,0.6067415730337078,1035159.0,1.18875,Mid-term,3.5,1,1,1035159.0,1,1035159.0,1.8000000000000005,Medium,9.487375099127677
Tangerang,Laki-laki,Married,2,SLTA,6.0,9.73,Operations,Staff,1121663,0.0,High,Excellent,42.0,413,3364989,6729978,14581619,1.3075060532687652,373887.6666666667,1.21625,Mid-term,1.8571428571428568,3,1,1121663.0,1,1121663.0,3.0,Medium,9.680145175064048
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,0.0,9.76,Engineering & IT,Staff,1187289,0.0,Medium,Good,38.0,471,3561867,7123734,17809335,0.0,296822.25,1.22,Mid-term,15.0,4,1,1187289.0,1,1187289.0,2.0,Medium,9.76
Kabupaten Bogor,Laki-laki,Married,4,SLTA,0.0,9.16,Service & Support,Staff,1855086,0.0,Low,Low,48.0,442,5565258,11130516,25971204,0.0,371017.2,1.145,Mid-term,14.0,5,1,1855086.0,1,1855086.0,1.0,Medium,9.16
Kabupaten Bekasi,Laki-laki,Married,1,D1,6.0,9.73,Engineering & IT,Staff,3942898,0.0,Medium,Good,35.0,844,11828694,23657388,110401144,0.6398104265402843,1971449.0,1.21625,Mid-term,4.0,2,1,3942898.0,2,1971449.0,2.0,Medium,9.70684252280841
Kota Bekasi,Perempuan,Divorce,1,SLTA,0.0,9.22,Marketing,Staff,1716539,0.0,High,Low,37.0,429,5149617,10299234,24031546,0.0,858269.5,1.1525,Mid-term,14.0,1,1,1716539.0,1,1716539.0,2.2,Medium,9.22
Kota Jakarta Barat,Perempuan,Single,0,SLTA,2.0,9.87,Engineering & IT,Staff,2268458,0.0,High,Low,30.0,428,6805374,13610748,31758412,0.4205607476635514,2268458.0,1.23375,Mid-term,4.666666666666667,1,1,2268458.0,1,2268458.0,2.2,Medium,9.854345757335448
Kota Depok,Perempuan,Married,2,D1,2.0,9.19,Finance & Accounting,Staff,4591372,0.0,High,Low,25.0,442,13774116,27548232,64279208,0.4072398190045249,1530457.3333333333,1.14875,Mid-term,4.666666666666667,3,1,4591372.0,2,2295686.0,2.2,Medium,9.175424266455192
Kabupaten Bogor,Perempuan,Married,2,D3,6.0,9.43,Corporate Strategy & Communications,Staff,3446436,0.0,Medium,Low,32.0,803,10339308,20678616,89607336,0.6724782067247821,1148812.0,1.17875,Mid-term,3.7142857142857135,3,1,3446436.0,4,861609.0,1.6,Medium,9.405830841520718
Kabupaten Bekasi,Perempuan,Married,1,SLTA,9.0,9.17,Engineering & IT,Staff,2694439,0.0,High,Low,31.0,394,8083317,16166634,35027707,2.0558375634517763,1347219.5,1.14625,Mid-term,1.3,2,1,2694439.0,1,2694439.0,2.2,Medium,9.099521776259609
Kabupaten Bogor,Perempuan,Married,2,D1,1.0,9.07,Operations,Staff,4658055,0.0,Medium,Excellent,41.0,788,13974165,27948330,121109430,0.1142131979695431,1552685.0,1.13375,Mid-term,13.0,3,1,4658055.0,2,2329027.5,2.4000000000000004,Medium,9.066125587355833
Kota Jakarta Selatan,Perempuan,Married,2,D2,2.0,9.58,Finance & Accounting,Staff,4938425,0.0,High,Low,52.0,653,14815275,29630550,103706925,0.2756508422664624,1646141.6666666667,1.1975,Mid-term,7.0,3,1,4938425.0,3,1646141.6666666667,2.2,Medium,9.569867794817556
Kota Jakarta Pusat,Perempuan,Married,1,SLTA,8.0,9.38,Engineering & IT,Staff,2567410,0.0,Medium,Good,27.0,585,7702230,15404460,48780790,1.2307692307692308,1283705.0,1.1725,Mid-term,2.111111111111111,2,1,2567410.0,1,2567410.0,2.0,Medium,9.33614260666277
Kabupaten Bogor,Laki-laki,Married,2,D1,0.0,9.41,Corporate Strategy & Communications,Staff,4982773,0.0,High,Excellent,42.0,889,14948319,29896638,144500417,0.0,1660924.3333333333,1.17625,Mid-term,29.0,3,1,4982773.0,2,2491386.5,3.0,Medium,9.41
Kabupaten Bekasi,Laki-laki,Married,2,D2,1.0,9.22,Creative & Design,Staff,3153729,0.0,Medium,Low,53.0,417,9461187,18922374,40998477,0.2158273381294964,1051243.0,1.1525,Mid-term,6.5,3,1,3153729.0,3,1051243.0,1.6,Medium,9.21212638770282
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,6.0,9.42,Operations,Staff,1620019,0.0,High,Excellent,57.0,739,4860057,9720114,38880456,0.7307171853856563,540006.3333333334,1.1775,Mid-term,3.4285714285714284,3,1,1620019.0,1,1620019.0,3.0,Medium,9.393845441925036
Kota Jakarta Selatan,Perempuan,Married,1,SLTA,6.0,9.76,Finance & Accounting,Staff,2804959,0.0,High,Good,46.0,823,8414877,16829754,75733893,0.6561360874848117,1402479.5,1.22,Mid-term,3.857142857142857,2,1,2804959.0,1,2804959.0,2.6,Medium,9.735911147675854
Kabupaten Bogor,Laki-laki,Married,3,D3,7.0,9.11,Corporate Strategy & Communications,Staff,3878135,0.0,Medium,Low,34.0,428,11634405,23268810,54293890,1.47196261682243,969533.75,1.13875,Mid-term,1.75,4,1,3878135.0,4,969533.75,1.6,Medium,9.059429024583665
Kabupaten Bekasi,Perempuan,Married,3,SLTA,1.0,9.21,Service & Support,Staff,1203695,0.0,Medium,Excellent,47.0,431,3611085,7222170,16851730,0.2088167053364269,300923.75,1.15125,Mid-term,7.0,4,1,1203695.0,1,1203695.0,2.4000000000000004,Medium,9.202696272799368
Tangerang,Perempuan,Married,3,SLTA,9.0,9.22,Engineering & IT,Staff,1444419,0.0,Medium,Low,53.0,433,4333257,8666514,20221866,1.8706697459584296,361104.75,1.1525,Mid-term,1.4,4,1,1444419.0,1,1444419.0,1.6,Medium,9.154195083267249
Kota Jakarta Timur,Laki-laki,Single,0,SLTA,0.0,9.57,Corporate Strategy & Communications,Staff,1390336,0.0,High,Low,25.0,448,4171008,8342016,19464704,0.0,1390336.0,1.19625,Mid-term,14.0,1,1,1390336.0,1,1390336.0,2.2,Medium,9.57
Kota Jakarta Selatan,Laki-laki,Single,0,SLTA,6.0,9.03,Creative & Design,Staff,1376207,0.0,High,Low,25.0,414,4128621,8257242,17890691,1.3043478260869563,1376207.0,1.12875,Mid-term,1.8571428571428568,1,1,1376207.0,1,1376207.0,2.2,Medium,8.983731853116995
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,9.0,9.87,Corporate Strategy & Communications,Staff,2864665,0.0,Low,Excellent,49.0,422,8593995,17187990,40105310,1.919431279620853,716166.25,1.23375,Mid-term,1.4,4,1,2864665.0,1,2864665.0,1.8000000000000005,Medium,9.799555908009516
Kota Jakarta Pusat,Laki-laki,Married,1,SLTA,12.0,9.34,Creative & Design,Staff,1129657,0.0,High,Low,29.0,931,3388971,6777942,35019367,1.1600429645542427,564828.5,1.1675,Mid-term,2.3846153846153846,2,1,1129657.0,1,1129657.0,2.2,Medium,9.29984235041204
Kepulauan Seribu,Perempuan,Married,0,SLTA,5.0,9.82,Operations,Staff,2615849,0.0,Medium,Low,47.0,421,7847547,15695094,36621886,1.0688836104513064,2615849.0,1.2275,Mid-term,2.333333333333333,1,1,2615849.0,1,2615849.0,1.6,Medium,9.781062648691517
Kota Bekasi,Laki-laki,Single,0,D2,7.0,9.64,Operations,Staff,3652213,0.0,High,Low,25.0,623,10956639,21913278,73044260,1.0112359550561798,3652213.0,1.205,Mid-term,2.5,1,1,3652213.0,3,1217404.3333333333,2.2,Medium,9.602531926707384
Kabupaten Bekasi,Laki-laki,Married,3,D3,4.0,9.42,Marketing,Staff,4044042,0.0,High,Good,42.0,914,12132126,24264252,121321260,0.3938730853391685,1011010.5,1.1775,Mid-term,6.0,4,1,4044042.0,4,1011010.5,2.6,Medium,9.40604961125509
Kabupaten Bogor,Laki-laki,Married,1,D3,1.0,9.06,Service & Support,Staff,4139239,0.0,High,Good,40.0,473,12417717,24835434,62088585,0.1902748414376321,2069619.5,1.1325,Mid-term,7.5,2,1,4139239.0,4,1034809.75,2.6,Medium,9.053293856402666
Tangerang,Perempuan,Married,0,D3,3.0,9.31,Marketing,Staff,4150595,0.0,Medium,Good,26.0,866,12451785,24903570,116216660,0.3117782909930716,4150595.0,1.16375,Mid-term,7.0,1,1,4150595.0,4,1037648.75,2.0,Medium,9.29892106307021
Tangerang,Perempuan,Married,1,SLTA,0.0,9.83,Marketing,Staff,1218460,0.0,Medium,Good,27.0,861,3655380,7310760,34116880,0.0,609230.0,1.22875,Mid-term,28.0,2,1,1218460.0,1,1218460.0,2.0,Medium,9.83
Kota Depok,Laki-laki,Single,0,D3,2.0,9.16,HR,Staff,4325475,0.0,Low,Excellent,32.0,958,12976425,25952850,134089725,0.1878914405010438,4325475.0,1.145,Mid-term,10.333333333333334,1,1,4325475.0,4,1081368.75,1.8000000000000005,Medium,9.15343604442852
Kabupaten Bogor,Perempuan,Married,2,SLTA,0.0,9.55,Service & Support,Staff,1076001,0.0,Low,Low,33.0,763,3228003,6456006,26900025,0.0,358667.0,1.19375,Mid-term,25.0,3,1,1076001.0,1,1076001.0,1.0,Medium,9.55
Kabupaten Bekasi,Perempuan,Single,0,D1,6.0,9.81,Marketing,Staff,3775309,0.0,Low,Good,27.0,1092,11325927,22651854,135911124,0.4945054945054945,3775309.0,1.22625,Mid-term,5.142857142857143,1,1,3775309.0,2,1887654.5,1.4,Medium,9.7918389385992
Tangerang,Perempuan,Married,2,SLTA,13.0,9.37,Creative & Design,Staff,2444604,0.0,Medium,Excellent,47.0,822,7333812,14667624,66004308,1.4233576642335768,814868.0,1.17125,Mid-term,1.9285714285714288,3,1,2444604.0,1,2444604.0,2.4000000000000004,Medium,9.31989304812834
Kota Jakarta Barat,Perempuan,Single,0,SLTA,12.0,9.73,Marketing,Staff,2106269,0.0,High,Good,26.0,387,6318807,12637614,25275228,2.7906976744186047,2106269.0,1.21625,Mid-term,0.9230769230769232,1,1,2106269.0,1,2106269.0,2.6,Medium,9.621988899167436
Tangerang,Perempuan,Married,2,SLTA,12.0,9.31,Creative & Design,Staff,1778735,0.0,Low,Low,54.0,787,5336205,10672410,46247110,1.3722998729351972,592911.6666666666,1.16375,Mid-term,2.0,3,1,1778735.0,1,1778735.0,1.0,Medium,9.26227680478428
Kota Jakarta Barat,Perempuan,Married,2,D1,5.0,9.34,Engineering & IT,Staff,3788542,0.0,Medium,Excellent,34.0,596,11365626,22731252,71982298,0.7550335570469799,1262847.3333333333,1.1675,Mid-term,3.1666666666666665,3,1,3788542.0,2,1894271.0,2.4000000000000004,Medium,9.31270601987142
Kota Jakarta Selatan,Laki-laki,Married,2,D3,8.0,9.26,Corporate Strategy & Communications,Staff,3100260,0.0,Medium,Excellent,46.0,941,9300780,18601560,96108060,0.7651434643995749,1033420.0,1.1575,Mid-term,3.4444444444444446,3,1,3100260.0,4,775065.0,2.4000000000000004,Medium,9.233457542099606
Kota Jakarta Selatan,Laki-laki,Single,0,D3,0.0,9.77,Engineering & IT,Staff,3395459,0.0,Low,Low,48.0,481,10186377,20372754,54327344,0.0,3395459.0,1.22125,Mid-term,16.0,1,1,3395459.0,4,848864.75,1.0,Medium,9.77
Tangerang,Perempuan,Single,0,SLTA,12.0,9.84,Corporate Strategy & Communications,Staff,1878006,0.0,High,Good,35.0,757,5634018,11268036,46950150,1.42668428005284,1878006.0,1.23,Mid-term,1.9230769230769231,1,1,1878006.0,1,1878006.0,2.6,Medium,9.78754331408263
Kabupaten Bekasi,Perempuan,Married,2,SLTA,10.0,9.49,Creative & Design,Staff,1380977,0.0,Low,Excellent,52.0,773,4142931,8285862,34524425,1.1642949547218628,460325.6666666667,1.18625,Mid-term,2.272727272727273,3,1,1380977.0,1,1380977.0,1.8000000000000005,Medium,9.447840959573522
Kota Jakarta Pusat,Laki-laki,Divorce,1,SLTA,0.0,9.67,Corporate Strategy & Communications,Staff,1578034,0.0,Medium,Good,40.0,396,4734102,9468204,20514442,0.0,789017.0,1.20875,Mid-term,13.0,1,1,1578034.0,1,1578034.0,2.0,Medium,9.67
Kota Jakarta Barat,Laki-laki,Single,0,SLTA,0.0,9.51,Marketing,Staff,1376224,0.0,High,Low,27.0,406,4128672,8257344,17890912,0.0,1376224.0,1.18875,Mid-term,13.0,1,1,1376224.0,1,1376224.0,2.2,Medium,9.51
Kota Depok,Laki-laki,Married,0,D1,0.0,9.48,Operations,Staff,3096156,0.0,Medium,Good,27.0,408,9288468,18576936,40250028,0.0,3096156.0,1.185,Mid-term,13.0,1,1,3096156.0,2,1548078.0,2.0,Medium,9.48
Kota Depok,Laki-laki,Single,0,SLTA,2.0,9.76,Marketing,Staff,1560519,0.0,Medium,Good,31.0,754,4681557,9363114,39012975,0.2387267904509283,1560519.0,1.22,Mid-term,8.333333333333334,1,1,1560519.0,1,1560519.0,2.0,Medium,9.751328298533986
Kota Jakarta Utara,Laki-laki,Married,1,SLTA,0.0,9.37,Marketing,Staff,1733474,0.0,Medium,Low,42.0,778,5200422,10400844,43336850,0.0,866737.0,1.17125,Mid-term,25.0,2,1,1733474.0,1,1733474.0,1.6,Medium,9.37
Kabupaten Bekasi,Laki-laki,Married,1,SLTA,0.0,9.78,Finance & Accounting,Staff,1229606,0.0,Low,Good,43.0,431,3688818,7377636,17214484,0.0,614803.0,1.2225,Mid-term,14.0,2,1,1229606.0,1,1229606.0,1.4,Medium,9.78
Kota Jakarta Selatan,Perempuan,Single,0,SLTA,5.0,9.39,Corporate Strategy & Communications,Staff,1379612,0.0,Low,Low,29.0,387,4138836,8277672,16555344,1.162790697674419,1379612.0,1.17375,Mid-term,2.0,1,1,1379612.0,1,1379612.0,1.0,Medium,9.346567992599446
Kabupaten Bekasi,Perempuan,Married,1,SLTA,11.0,9.89,Corporate Strategy & Communications,Staff,1103046,0.0,Low,Excellent,24.0,419,3309138,6618276,14339598,2.362768496420048,551523.0,1.23625,Mid-term,1.0833333333333333,2,1,1103046.0,1,1103046.0,1.8000000000000005,Medium,9.797096498719045
Kabupaten Bogor,Perempuan,Married,3,SLTA,5.0,9.2,Engineering & IT,Staff,1365773,0.0,High,Good,47.0,446,4097319,8194638,19120822,1.0089686098654709,341443.25,1.15,Mid-term,2.333333333333333,4,1,1365773.0,1,1365773.0,2.6,Medium,9.163521015067406
Kota Depok,Perempuan,Married,2,D1,0.0,9.07,Marketing,Staff,4423184,0.0,Low,Excellent,48.0,904,13269552,26539104,132695520,0.0,1474394.6666666667,1.13375,Mid-term,30.0,3,1,4423184.0,2,2211592.0,1.8000000000000005,Medium,9.07
Kabupaten Bogor,Laki-laki,Married,2,SLTA,1.0,9.06,HR,Staff,1494406,0.0,High,Good,41.0,823,4483218,8966436,40348962,0.1093560145808019,498135.3333333333,1.1325,Mid-term,13.5,3,1,1494406.0,1,1494406.0,2.6,Medium,9.05627313862608
Kota Depok,Perempuan,Married,1,SLTA,7.0,9.05,Creative & Design,Staff,1076129,0.0,Low,Low,34.0,425,3228387,6456774,15065806,1.4823529411764709,538064.5,1.13125,Mid-term,1.75,2,1,1076129.0,1,1076129.0,1.0,Medium,8.999762093576527
Tangerang,Laki-laki,Married,2,D2,4.0,9.7,Marketing,Staff,4995818,0.0,Low,Excellent,49.0,939,14987454,29974908,154870358,0.3833865814696485,1665272.6666666667,1.2125,Mid-term,6.2,3,1,4995818.0,3,1665272.6666666667,1.8000000000000005,Medium,9.686098172697957
